,Original Title,media_type,original_language,origin_country,vote_count,vote_average,popularity
0,The Last of Us,tv,en,['US'],463,8.991,2035.583
1,Three-Body,tv,zh,['CN'],24,8.542,27.968
2,Puss in Boots: The Last Wish,movie,en,,2053,8.617,9694.931
3,Avatar: The Way of Water,movie,en,,4352,7.718,2736.974
4,That '90s Show,tv,en,['US'],8,6.375,54.487
5,The Menu,movie,en,,1604,7.3,382.481
6,M3GAN,movie,en,,318,7.0,1913.805
7,House Party,movie,en,,12,7.3,87.555
8,Ant-Man and the Wasp: Quantumania,movie,en,,0,0.0,198.026
9,The Price We Pay,movie,en,,2,3.0,19.235
10,There's Something Wrong with the Children,movie,en,,8,6.0,55.499
11,Junji Ito Maniac: Japanese Tales of the Macabre,tv,ja,['JP'],4,7.0,60.221
12,Babylon,movie,en,,106,7.854,204.208
13,Dog Gone,movie,en,,48,6.563,278.345
14,Snow Falls,movie,en,,6,5.0,71.666
15,Wednesday,tv,en,['US'],5468,8.676,2359.482
16,Black Adam,movie,en,,3757,7.212,1527.271
17,Velma,tv,en,['US'],42,2.548,482.425
18,The Old Way,movie,en,,18,6.1,90.454
19,The Three-Body Problem,tv,zh,['CN'],25,3.8,90.765
20,Women at War,tv,fr,"['BE', 'FR']",14,7.107,7.971
21,Vikings: Valhalla,tv,en,['US'],508,7.964,342.056
22,Hunters,tv,en,['US'],408,7.504,137.018
23,Everything Everywhere All at Once,movie,en,,2742,8.056,189.616
24,The Pale Blue Eye,movie,en,,706,7.079,986.994
25,Black Panther: Wakanda Forever,movie,en,,1649,7.5,1198.153
26,Sick,movie,en,,37,6.243,81.133
27,Glass Onion: A Knives Out Mystery,movie,en,,2770,7.075,1357.719
28,National Treasure: Edge of History,tv,en,['US'],61,7.508,145.394
29,Top Gun: Maverick,movie,en,,5700,8.329,528.427
30,Tulsa King,tv,en,['US'],576,8.602,2020.226
31,Avatar,movie,en,,27847,7.562,1380.398
32,One Piece,tv,ja,['JP'],3509,8.71,96.829
33,Star Wars: The Bad Batch,tv,en,['US'],690,8.4,192.374
34,Scream VI,movie,en,,0,0.0,42.509
35,Night Court,tv,en,['US'],5,9.6,30.306
36,Devotion,movie,en,,63,6.786,1117.386
37,Spider-Man: No Way Home,movie,en,,16431,8.02,411.393
38,The Knockout,tv,zh,['CN'],4,8.2,113.376
39,The Mandalorian,tv,en,['US'],8252,8.476,185.986
40,Play Dead,movie,en,,0,0.0,16.61
41,Chainsaw Man,tv,ja,['JP'],714,8.7,831.536
42,Mindcage,movie,en,,65,7.408,53.322
43,Willow,tv,en,['US'],192,7.047,535.848
44,Seriously Red,movie,en,,1,6.0,2.983
45,Game of Thrones,tv,en,['US'],20363,8.434,486.81
46,Hot Fuzz,movie,en,,6543,7.544,21.215
47,The Banshees of Inisherin,movie,en,,531,7.463,161.624
48,Plane,movie,en,,14,6.286,137.259
49,The Batman,movie,en,,7259,7.707,266.6
50,Black Warrant,movie,en,,1,5.0,2.857
51,Triangle of Sadness,movie,en,,595,7.5,74.102
52,The Offering,movie,en,,5,5.6,46.376
53,The Fabelmans,movie,en,,478,8.019,121.962
54,The Glory,tv,ko,['KR'],104,8.7,131.858
55,House of the Dragon,tv,en,['US'],2820,8.488,462.769
56,King Shakir Recycle,movie,tr,,1,10.0,5.268
57,Strangers Again,tv,ko,['KR'],1,10.0,37.682
58,Kaleidoscope,tv,en,['US'],133,7.342,441.697
59,Attack on Titan,tv,ja,['JP'],4814,8.642,81.59
60,Mayor of Kingstown,tv,en,['US'],94,8.2,130.875
61,Miracle Workers,tv,en,['US'],176,7.0,67.747
62,Thor: Love and Thunder,movie,en,,5219,6.66,330.74
63,Sky Rojo,tv,es,['ES'],416,7.642,388.597
64,Wrong Place,movie,en,,24,4.9,18.907
65,Rush,movie,en,,6239,7.706,34.015
66,Disconnect: The Wedding Planner,movie,fr,,3,5.8,42.261
67,Sorcerous Stabber Orphen,tv,ja,['JP'],33,7.3,51.777
68,Bleach,tv,ja,['JP'],1432,8.4,177.076
69,Your Honor,tv,en,['US'],1240,8.2,102.68
70,The Climb,tv,en,['US'],1,10.0,50.959
71,Decision to Leave,movie,ko,,412,7.4,110.488
72,Anne Rice's Mayfair Witches,tv,en,['US'],30,7.3,1216.27
73,Driving Madeleine,movie,fr,,19,7.5,3.41
74,Alienoid,movie,ko,,88,7.3,84.176
75,Operation Fortune: Ruse de Guerre,movie,en,,44,6.83,133.613
76,Bungo Stray Dogs,tv,ja,['JP'],317,8.5,108.268
77,Till,movie,en,,67,7.612,40.144
78,Doctor Strange in the Multiverse of Madness,movie,en,,6765,7.416,291.332
79,Avengers: Endgame,movie,en,,22477,8.273,128.996
80,Harry Potter and the Philosopher's Stone,movie,en,,23897,7.917,163.349
81,Jurassic World Dominion,movie,en,,4265,6.925,395.148
82,Breaking Bad,tv,en,['US'],10916,8.863,367.057
83,Nope,movie,en,,2384,6.941,106.617
84,Echo 3,tv,en,"['CO', 'US']",44,7.511,272.153
85,Yellowstone,tv,en,['US'],1426,8.114,953.285
86,Stranger Things,tv,en,['US'],14900,8.6,361.223
87,Criminal Minds,tv,en,['US'],3165,8.3,642.79
88,Star Wars,movie,en,,18147,8.207,90.45
89,TÁR,movie,en,,156,7.6,66.459
90,Bullet Train,movie,en,,3126,7.516,311.415
91,Strange World,movie,en,,670,6.557,794.075
92,Avengers: Infinity War,movie,en,,26125,8.265,193.98
93,Guillermo del Toro's Pinocchio,movie,en,,1595,8.369,748.251
94,The Enforcer,movie,en,,50,6.4,1401.788
95,The Time Capsule,movie,en,,5,7.4,45.772
96,Ox-Head Village,movie,ja,,11,5.273,30.217
97,Servant,tv,en,['US'],577,7.65,170.646
98,Doctor Who,tv,en,['GB'],2501,7.409,393.56
99,Aftersun,movie,en,,221,7.948,85.863
100,Alkhallat+,movie,ar,,0,0.0,23.757
101,Titanic,movie,en,,22117,7.883,134.041
102,The Whale,movie,en,,32,7.2,274.246
103,Violent Night,movie,en,,951,7.692,1867.347
104,NieR:Automata Ver1.1a,tv,ja,['JP'],13,7.3,69.073
105,GAP The Series,tv,th,['TH'],8,10.0,568.152
106,Puss in Boots,movie,en,,2958,6.477,626.718
107,The Dark Knight,movie,en,,28999,8.506,106.075
108,Interstellar,movie,en,,30303,8.388,204.197
109,Lamborghini: The Man Behind the Legend,movie,en,,73,6.432,27.239
110,Alice in Borderland,tv,ja,['JP'],1256,8.206,325.334
111,A Man Called Otto,movie,en,,57,7.368,254.461
112,ONIMAI: I'm Now Your Sister!,tv,ja,['JP'],6,6.3,61.251
113,Tokyo Revengers,tv,ja,['JP'],969,8.596,209.991
114,The Godfather,movie,en,,17323,8.714,110.703
115,Pokémon,tv,ja,['JP'],1343,7.668,184.517
116,Iron Man,movie,en,,23813,7.631,72.182
117,SPY x FAMILY,tv,ja,['JP'],1119,8.691,351.573
118,Gossip Girl,tv,en,['US'],235,7.6,88.724
119,Bank of Dave,movie,en,,2,5.0,68.17
120,The Rig,tv,en,['GB'],42,7.024,65.511
121,The Lord of the Rings: The Fellowship of the Ring,movie,en,,22123,8.393,103.836
122,The Walking Dead,tv,en,['US'],14451,8.111,677.93
123,Battlebox,movie,en,,2,2.0,1.96
124,The Avengers,movie,en,,28069,7.708,125.424
125,Vinland Saga,tv,ja,['JP'],450,8.6,55.822
126,The Rookie,tv,en,['US'],1104,8.209,251.702
127,Tomo-chan Is a Girl!,tv,ja,['JP'],6,7.0,73.753
128,All Quiet on the Western Front,movie,de,,1422,7.776,360.437
129,Scissor Seven,tv,zh,['CN'],509,8.617,100.951
